Warning: file 'Mem.hex' for memory 'rf' has a gap at addresses 524288 to 150994943.
Warning: RegFile 'top.mem_model.rf' -- Read address is out of bounds: 0xaaaaaaaaaaaaaaaa
================================================================
Bluespec RISC-V standalone system simulation v1.1
Copyright (c) 2017-2018 Bluespec, Inc. All Rights Reserved.
================================================================
================================================================
CPU: Bluespec  RISC-V  Piccolo  v3.0
Copyright (c) 2016-2018 Bluespec, Inc. All Rights Reserved.
================================================================
135: Mem_Controller.set_addr_map: addr_base 0x80000000 addr_lim 0x90000000
[[ 0x0001 ]], halt: False, trap: False, insn:0x00040117, pc:0x80000000, rd: 0x00010, rd_wdata:0x0000000080040000
[[ 0x0002 ]], halt: False, trap: False, insn:0xfe010113, pc:0x80000004, rd: 0x00010, rd_wdata:0x000000008003ffe0
[[ 0x0003 ]], halt: False, trap: False, insn:0x00000297, pc:0x80000008, rd: 0x00101, rd_wdata:0x0000000080000008
[[ 0x0004 ]], halt: False, trap: False, insn:0x06c28293, pc:0x8000000c, rd: 0x00101, rd_wdata:0x0000000080000074
[[ 0x0005 ]], halt: False, trap: False, insn:0x30529073, pc:0x80000010, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0006 ]], halt: False, trap: False, insn:0xf1402573, pc:0x80000014, rd: 0x01010, rd_wdata:0x0000000000000000
[[ 0x0007 ]], halt: False, trap: False, insn:0x00051063, pc:0x80000018, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0008 ]], halt: False, trap: False, insn:0x00000193, pc:0x8000001c, rd: 0x00011, rd_wdata:0x0000000000000000
[[ 0x0009 ]], halt: False, trap: False, insn:0x30005073, pc:0x80000020, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x000a ]], halt: False, trap: False, insn:0x00000c17, pc:0x80000024, rd: 0x11000, rd_wdata:0x0000000080000024
[[ 0x000b ]], halt: False, trap: False, insn:0x01cc0c13, pc:0x80000028, rd: 0x11000, rd_wdata:0x0000000080000040
[[ 0x000c ]], halt: False, trap: False, insn:0x00004297, pc:0x8000002c, rd: 0x00101, rd_wdata:0x000000008000402c
[[ 0x000d ]], halt: False, trap: False, insn:0x51828293, pc:0x80000030, rd: 0x00101, rd_wdata:0x0000000080004544
[[ 0x000e ]], halt: False, trap: False, insn:0x34129073, pc:0x80000034, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x000f ]], halt: False, trap: False, insn:0xf1402573, pc:0x80000038, rd: 0x01010, rd_wdata:0x0000000000000000
[[ 0x0010 ]], halt: False, trap: False, insn:0x30200073, pc:0x8000003c, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0011 ]], halt: False, trap: False, insn:0xfe010113, pc:0x80004544, rd: 0x00010, rd_wdata:0x000000008003ffc0
[[ 0x0012 ]], halt: False, trap: False, insn:0x00113c23, pc:0x80004548, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0013 ]], halt: False, trap: False, insn:0x00813823, pc:0x8000454c, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0014 ]], halt: False, trap: False, insn:0x02010413, pc:0x80004550, rd: 0x01000, rd_wdata:0x000000008003ffe0
[[ 0x0015 ]], halt: False, trap: False, insn:0x954ff0ef, pc:0x80004554, rd: 0x00001, rd_wdata:0x0000000080004558
[[ 0x0016 ]], halt: False, trap: False, insn:0xfe010113, pc:0x800036a8, rd: 0x00010, rd_wdata:0x000000008003ffa0
[[ 0x0017 ]], halt: False, trap: False, insn:0x00113c23, pc:0x800036ac, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0018 ]], halt: False, trap: False, insn:0x00813823, pc:0x800036b0, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0019 ]], halt: False, trap: False, insn:0x02010413, pc:0x800036b4, rd: 0x01000, rd_wdata:0x000000008003ffc0
[[ 0x001a ]], halt: False, trap: False, insn:0xfe042623, pc:0x800036b8, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x001b ]], halt: False, trap: False, insn:0x7e5070ef, pc:0x800036bc, rd: 0x00001, rd_wdata:0x00000000800036c0
[[ 0x001c ]], halt: False, trap: False, insn:0x00008c93, pc:0x8000b6a0, rd: 0x11001, rd_wdata:0x00000000800036c0
[[ 0x001d ]], halt: False, trap: False, insn:0x00010d13, pc:0x8000b6a4, rd: 0x11010, rd_wdata:0x000000008003ffa0
[[ 0x001e ]], halt: False, trap: False, insn:0x00000113, pc:0x8000b6a8, rd: 0x00010, rd_wdata:0x0000000000000000
[[ 0x001f ]], halt: False, trap: False, insn:0x00000093, pc:0x8000b6ac, rd: 0x00001, rd_wdata:0x0000000000000000
